idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,indoor,delta_1_12,delta_1_13,delta_1_23,delta_2_12,delta_2_13,delta_2_23,delta_3_12,delta_3_13,delta_3_23,dist_1,dist_2,dist_3,ang_1,ang_2,ang_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
13,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
14,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
15,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
16,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
17,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
18,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
19,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
20,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
21,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
22,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
23,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
24,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
25,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
26,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,0.0,0.0,0.0,0.0,0.0,0.0,-6.8166666666667055,24.069999999999993,30.8866666666667,1.3479463755123187,0.8337221412828737,0.6810590489109092,178.72547654309327,-111.11014705750569,92.65306825565305,5.0,3.0,2.0,2.0,3.0,1.0
